latitude,longitude,Number of Parks found,Distance to Closest Park
43.665269,-79.319796,5,63.0
43.67142,-79.445947,6,61.0
43.666224,-79.317693,10,138.0
43.653236,-79.376716,9,214.0
43.663722,-79.380288,10,163.0
43.657763,-79.389165,2,307.0
43.656729,-79.382736,8,270.0
43.664467,-79.414783,6,253.0
43.675492,-79.388858,7,48.0
43.674991,-79.396273,8,164.0
43.671944,-79.387778,10,91.0
43.662365,-79.351104,5,232.0
43.646144,-79.377962,10,155.0
43.663993,-79.358534,3,266.0
43.657266,-79.374756,3,161.0
43.6672144,-79.3452697,4,155.0
43.673939,-79.441159,3,352.0
43.657991,-79.340075,6,103.0
43.66745,-79.329408,5,49.0
43.672453,-79.338259,2,410.0
43.6592088,-79.3348396,2,372.0
43.689211,-79.35438,2,98.0
43.656927,-79.378497,5,203.0
43.658295,-79.372346,4,225.0
43.6940155,-79.2889842,1,215.0
43.6809164,-79.4229684,1,394.0
43.6910667,-79.39535,1,75.0
43.6975969,-79.39654,5,85.0
43.639832,-79.395954,9,9.0
43.667333,-79.399429,9,189.0
43.6480008,-79.383177,10,95.0
43.656518,-79.389099,2,355.0
43.687999,-79.38906,2,202.0
43.6563889,-79.45166666666667,3,308.0
43.639179,-79.399595,10,208.0
43.6616667,-79.40138888888889,7,89.0
43.66666667,-79.45833333333334,2,268.0
43.657192,-79.452559,3,252.0
43.6576,-79.4032,3,184.0
43.660694,-79.379052,10,222.0
43.636533,-79.395854,10,190.0
43.659777,-79.382767,7,89.0
43.643667,-79.380414,10,54.0
43.666233,-79.373327,7,24.0
43.640114,-79.393249,10,127.0
43.653766,-79.4016759,5,33.0
43.6538888888889,-79.4413888888889,5,63.0
43.6508333333333,-79.4430555555556,9,228.0
43.651238,-79.43868,4,123.0
43.6544915,-79.422634,4,35.0
43.6543604,-79.4655296,4,142.0
43.635932,-79.465083,4,45.0
43.654501,-79.460053,3,131.0
43.634896,-79.467763,4,201.0
43.6314,-79.4304,1,267.0
43.636731,-79.444966,4,207.0
43.6534268,-79.4512787,4,30.0
43.7112153,-79.39894,6,218.0
43.655227,-79.39201,5,290.0
43.685167,-79.34962,2,177.0
43.6704537,-79.39014,7,181.0
43.6691099,-79.38551,10,122.0
43.641389,-79.404444,8,141.0
43.643834,-79.396649,7,199.0
43.6545174,-79.3895315,6,237.0
43.665846,-79.404998,10,27.0
43.6461,-79.3895,9,151.0
43.671349,-79.29451,6,159.0
43.667208,-79.312315,8,41.0
43.669328,-79.288949,2,342.0
43.672571,-79.289,3,304.0
43.638497,-79.39192,9,103.0
43.662771,-79.315223,8,72.0
43.66852,-79.363525,2,344.0
43.652473,-79.401456,7,170.0
